20000 2
-7932 -1641 1
-6136 6235 1
-6924 5987 1
-9071 2774 1
4181 9905 1
-9930 4595 1
-9268 -9166 1
4349 6247 1
-2830 5061 1
3638 8234 1
-6723 -3908 1
902 6411 1
3832 6637 1
-3779 -59 1
-688 9254 1
2890 9301 1
-8868 5737 1
-2045 3248 1
2030 7984 1
4384 6661 1
-6463 -4635 1
2142 6047 1
-9030 5379 1
-8575 110 1
-4475 6458 1
-3462 7683 1
3254 6836 1
1267 8934 1
1577 5045 1
-1176 7957 1
2573 6794 1
-5764 6997 1
-3451 6539 1
3547 5891 1
1692 3580 1
851 5013 1
-8936 -7691 1
-7272 -9453 1
-3950 1287 1
-4512 -4769 1
-1637 7282 1
-4490 -1057 1
-350 4900 1
552 6270 1
-9225 224 1
-1694 6716 1
-3148 9846 1
-8842 -4749 1
4604 6591 1
3981 7849 1
-2771 6928 1
2941 8870 1
527 3969 1
-8073 -215 1
-5881 -3048 1
-8445 40 1
-7682 -7495 1
-4815 3638 1
-4379 6675 1
-8773 2386 1
-3433 1369 1
-6755 -3257 1
-9436 661 1
-9407 -4856 1
-3418 740 1
1112 4066 1
-3019 -1266 1
-6840 2427 1
-7859 -8676 1
-7225 -5641 1
-4439 -4542 1
-1217 887 1
-1634 2063 1
-6267 -457 1
-2293 9792 1
-6583 510 1
-8717 3324 1
-7601 2460 1
-5172 -5903 1
-7488 8704 1
-1259 1957 1
-315 8496 1
-6469 -8500 1
-9523 -6995 1
-8688 -3842 1
-2147 9229 1
-6213 4776 1
-4515 -2089 1
-4791 -6630 1
-6718 -3196 1
-9106 -9655 1
-315 9549 1
494 4741 1
-7896 399 1
-6350 -1805 1
-2948 7791 1
-1926 1812 1
-7333 -799 1
-7070 4677 1
-7034 8821 1
-8654 724 1
-3878 379 1
-1944 956 1
-6692 7834 1
-6983 -1968 1
-2012 3166 1
-7629 -1216 1
-7538 -9295 1
-9675 -470 1
1770 6164 1
-6692 6431 1
-4115 -5099 1
-5362 479 1
6855 9723 1
357 8120 1
-3268 -4162 1
-204 4177 1
-8408 -1896 1
-9643 2967 1
-1546 5919 1
-9200 3654 1
-7957 1631 1
-5461 -1509 1
-926 3036 1
-2347 5926 1
-9754 -4181 1
-2603 -2188 1
256 6223 1
-7655 6768 1
-183 8099 1
5230 9484 1
-7215 -5961 1
-4223 -4895 1
-1788 3984 1
-2869 8662 1
-8291 6222 1
2583 6878 1
-4599 7834 1
-8666 7177 1
-7037 -1638 1
-6688 -1233 1
-7256 -5441 1
-7312 4584 1
-2103 2529 1
-4601 665 1
-6094 4132 1
-1866 2415 1
-3779 7314 1
4378 8976 1
-9310 -8990 1
-4335 -668 1
-5136 7772 1
-3431 -1046 1
196 9194 1
-1779 4628 1
-4495 7871 1
1697 6083 1
-3153 8696 1
-9208 -6131 1
-5524 -7536 1
4326 6484 1
1693 7315 1
-5940 4494 1
-12 7672 1
-6294 2372 1
-902 9601 1
5126 9689 1
4726 7399 1
-3532 1778 1
2753 8985 1
1011 9151 1
-7780 6145 1
-1885 -468 1
-9319 3337 1
-4885 3020 1
-7594 9840 1
-9668 1451 1
-1330 3473 1
-5016 5142 1
-1501 5878 1
-4441 5307 1
-1125 6721 1
-6768 9354 1
-4621 6619 1
-3155 7305 1
-3193 -2226 1
-7753 -7546 1
-4476 -271 1
1661 9978 1
-2394 2864 1
-4352 5848 1
